link;endereco;rua;bairro;regiao;bairro_cidade;regiao_cidade;cidade;estado;area;quartos;suites;banheiros;vagas;elevador;metro_trem;condominio;iptu;valor;tipo;loc;point;tipo_Apartamento;tipo_Casa;cidade_BeloHorizonte;cidade_RioDeJaneiro;cidade_SaoPaulo
http://larimoveis.com.br/imovel/cobertura-3-quartos-a-venda-no-cachoeirinha-belo-horizonte-mg-74377/;Rua Conde Santa Marinha, Cachoeirinha, Belo Horizonte, Minas Gerais, 31130-080;Rua Conde Santa Marinha;CACHOEIRINHA;REGIAO NORDESTE;BAIRRO CACHOEIRINHA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;150;3;2;3;3;0;0;250;5592.0;650000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-2-quartos-a-venda-no-fernao-dias-belo-horizonte-mg-73676/;Av. Joaquim José Diniz, Fernão Dias, Belo Horizonte, Minas Gerais, 31910-520;Av. Joaquim José Diniz;FERNAO DIAS;REGIAO NORDESTE;BAIRRO FERNAO DIAS, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;48;2;0;1;0;0;0;0;960.0;200000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-no-colegio-batista-belo-horizonte-mg-73459/;Rua Pitangui, Colégio Batista, Belo Horizonte, Minas Gerais, 31110-202;Rua Pitangui;COLEGIO BATISTA;REGIAO NORDESTE;BAIRRO COLEGIO BATISTA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;73;3;0;2;1;0;0;250;1152.0;370000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-nova-bairros-belo-horizonte-com-garagem-90m2-venda-RS620000-id-2510538273/;Rua Deputado Bernardino de Sena Figueiredo, 1177 - Cidade Nova, Belo Horizonte - MG;Rua Deputado Bernardino de Sena Figueiredo, 1177;CIDADE NOVA;REGIAO NORDESTE;BAIRRO CIDADE NOVA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;90;3;1;1;3;1;0;0;3100.0;620000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
https://www.vivareal.com.br/imovel/apartamento-4-quartos-cidade-nova-bairros-belo-horizonte-com-garagem-141m2-venda-RS1300000-id-2499506037/;Rua Alto da Mata - Cidade Nova, Belo Horizonte - MG;Rua Alto da Mata;CIDADE NOVA;REGIAO NORDESTE;BAIRRO CIDADE NOVA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;141;4;1;4;3;1;0;1180;303.0;1300000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-nova-bairros-belo-horizonte-com-garagem-150m2-venda-RS750000-id-2510540297/;Rua Deputado Bernardino de Sena Figueiredo, 1177 - Cidade Nova, Belo Horizonte - MG;Rua Deputado Bernardino de Sena Figueiredo, 1177;CIDADE NOVA;REGIAO NORDESTE;BAIRRO CIDADE NOVA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;150;3;1;1;3;1;0;0;3750.0;750000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-nova-bairros-belo-horizonte-com-garagem-76m2-venda-RS400000-id-2523620310/;Rua João Arantes, 28 - Cidade Nova, Belo Horizonte - MG;Rua João Arantes, 28;CIDADE NOVA;REGIAO NORDESTE;BAIRRO CIDADE NOVA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;76;3;1;2;1;0;0;352;150.0;400000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-nova-bairros-belo-horizonte-com-garagem-78m2-venda-RS290000-id-2510714328/;Rua Carvalhais de Paiva - Cidade Nova, Belo Horizonte - MG;Rua Carvalhais de Paiva;CIDADE NOVA;REGIAO NORDESTE;BAIRRO CIDADE NOVA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;78;3;1;1;1;1;0;500;1300.0;290000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-nova-bairros-belo-horizonte-com-garagem-210m2-venda-RS730000-id-2532115202/;Rua João Arantes - Cidade Nova, Belo Horizonte - MG;Rua João Arantes;CIDADE NOVA;REGIAO NORDESTE;BAIRRO CIDADE NOVA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;210;3;1;3;2;0;0;443;2706.0;730000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-nova-bairros-belo-horizonte-com-garagem-204m2-venda-RS1230000-id-2531892076/;Rua Cardeal Stepinac - Cidade Nova, Belo Horizonte - MG;Rua Cardeal Stepinac;CIDADE NOVA;REGIAO NORDESTE;BAIRRO CIDADE NOVA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;204;3;1;3;3;1;0;580;3758.0;1230000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
